line_key,line_name,rule_ref,authority,payment_grain,scope,code_system,code,qualifier,qualifier_means,binding_role,source_definition,adjudicated,vernacular_aliases,do_not_alias_with
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,760,2,severity of illness,grouped_to,OTHER MENTAL HEALTH DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,760,3,severity of illness,grouped_to,OTHER MENTAL HEALTH DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,760,4,severity of illness,grouped_to,OTHER MENTAL HEALTH DISORDERS,True,,
specialized_therapeutic,Specialized Therapeutic Services,,AHCA 59G rule,code_modifier,serve,,,,,,,,,
state_mental_health,State Mental Health,59G-4.300,AHCA 59G rule,code_modifier,serve,,,,,,,,,
tcm_child_health,Child Health Services Targeted Case Management,59G-8.700,AHCA 59G rule,code_modifier,serve,,,,,,,,,
tcm_children_at_risk,Targeted Case Management for Children at Risk of Abuse and Neglect,59G-4.310,AHCA 59G rule,code_modifier,serve,hcpcs,T2023,HA,Child/adolescent program,rendered_as,Targeted case management for children at risk of abuse and neglect,True,,
therapeutic_group_care,Therapeutic Group Care Services,59G-4.295,AHCA 59G rule,facility_per_diem,serve,,,,,,,,,
baker_act_exam,Baker Act involuntary examination,,FL Statute 394 (Baker Act),facility_per_diem,decline_well,,,,,,,,,
csu_baker_act,Crisis Stabilization Unit / Baker Act receiving,,FL Statute 394 (Baker Act),facility_per_diem,decline_well,icd10cm,F20-F29,,,classified_by,"Schizophrenia, schizotypal, delusional and other psychotic disorders",False,,
csu_baker_act,Crisis Stabilization Unit / Baker Act receiving,,FL Statute 394 (Baker Act),facility_per_diem,decline_well,icd10cm,F30-F39,,,classified_by,Mood [affective] disorders,False,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,icd10cm,F10-F19,,,classified_by,Mental and behavioural disorders due to psychoactive substance use,False,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,icd10cm,F20-F29,,,classified_by,"Schizophrenia, schizotypal, delusional and other psychotic disorders",False,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,icd10cm,F30-F39,,,classified_by,Mood [affective] disorders,False,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,icd10cm,F40-F48,,,classified_by,"Anxiety, dissociative, stress-related, somatoform disorders",False,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,740,1,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,740,2,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,740,3,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,740,4,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,750,1,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,750,2,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,750,3,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,750,4,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,751,1,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,751,2,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
ed_behavioral,Emergency Department behavioral health,59G-4.160,Hospital reimbursement (DRG/EAPG),hospital_eapg,decline_well,apr_drg,751,3,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
